City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
424,Urumqi,CN,74.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
426,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
430,Matagami,CA,68.11,overcast clouds,49.7502,-77.6328,Motel Le Caribou
433,Castelo Do Piaui,BR,75.0,overcast clouds,-5.3222,-41.5525,Nobre Hotel
434,Kushima,JP,81.86,overcast clouds,31.4583,131.2333,Hanaoka
436,Ternate,ID,81.12,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
437,Hami,CN,85.93,overcast clouds,42.8,93.45,Laoyutang Resort
440,Tamale,GH,72.73,moderate rain,9.4008,-0.8393,Tap Hotel
442,Broome,US,73.36,clear sky,42.2506,-75.833,Chenango Valley State Park
443,Tommot,RU,75.27,broken clouds,58.9564,126.2925,Gostinitsa Tommot
446,Kryve Ozero,UA,65.88,scattered clouds,47.9524,30.3493,Hotel Oktan
449,Gameleira,BR,72.12,overcast clouds,-8.5844,-35.3867,Pousada Vinte Ver
451,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
452,Plainview,US,83.88,scattered clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
453,Riyadh,SA,91.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
455,Livadia,GR,73.8,clear sky,38.435,22.8739,Levadia Hotel
458,San Quintin,MX,73.78,few clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
459,Bubaque,GW,79.39,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
460,Chernyshevskiy,RU,67.42,scattered clouds,63.0128,112.4714,Chernyseyskiy
461,Sur,OM,84.76,broken clouds,22.5667,59.5289,Sur Plaza Hotel
464,Banswara,IN,78.04,overcast clouds,23.55,74.45,Hotel Relax Inn
466,Anito,PH,81.14,overcast clouds,12.4497,125.2886,El Felix Cottages
467,Sabzevar,IR,74.48,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
468,Ambanja,MG,68.45,scattered clouds,-13.6833,48.45,Hotel Salama and Fast Food
469,Kupang,ID,79.3,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
470,Shimoda,JP,90.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
471,Andros Town,BS,84.16,few clouds,24.7,-77.7667,Hanks place
472,Tailai,CN,77.79,overcast clouds,46.3833,123.4,Pearl Garden Hotel
474,Colares,PT,78.33,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
475,Awbari,LY,83.73,clear sky,26.5921,12.7805,فندق أوباري
476,Gerash,IR,82.54,overcast clouds,27.6652,54.1371,Sa'adat House Gerash
477,Sambava,MG,68.74,light rain,-14.2667,50.1667,Melrose
480,Mahibadhoo,MV,78.85,overcast clouds,3.7833,72.9667,Omadhoo Inn
483,San Policarpo,PH,81.21,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
485,Terrace,CA,85.91,broken clouds,54.5163,-128.6035,Northern Motor Inn
486,Agua Dulce,MX,78.58,broken clouds,18.1333,-94.1333,Hotel Victoria
489,Deer Lake,CA,66.06,scattered clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
490,Rabo De Peixe,PT,69.31,few clouds,37.8,-25.5833,Quinta das Giestas
493,Lormi,IN,78.06,overcast clouds,22.2833,81.7333,suresh Kumar Porte
494,Villa Altagracia,DO,78.01,overcast clouds,18.673,-70.171,La Maison de AAVA
496,Aksu,CN,73.92,light rain,41.1231,80.2644,Pudong Holiday Hotel
497,Mehran,IR,93.06,clear sky,33.1222,46.1646,بوتیک زنانه بهار
498,Luanda,AO,68.05,clear sky,-8.8368,13.2343,EPIC SANA Luanda
499,Catuday,PH,80.65,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
500,Belmonte,BR,74.82,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
502,Liliani,PK,84.15,overcast clouds,32.2065,72.9537,Umer Tea Stall
503,Lompoc,US,88.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
504,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
506,Salinopolis,BR,78.89,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
507,Seoul,KR,83.77,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
512,Nabire,ID,80.65,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
513,Hilton Head Island,US,87.91,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
516,Shache,CN,73.71,overcast clouds,38.4167,77.2406,Delong Hotel
517,Kudahuvadhoo,MV,78.67,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
518,Honggang,CN,77.77,few clouds,46.4667,124.8667,亚布力滑雪旅游度假区
519,Trinidad,BO,71.6,clear sky,-14.8333,-64.9,Hotel Piesta
520,Akyab,MM,83.23,overcast clouds,20.15,92.9,Hotel Memory
521,Gravelbourg,CA,73.67,scattered clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
524,Linjiang,CN,76.73,moderate rain,41.8069,126.9078,格林豪泰
525,Puerto Maldonado,PE,72.03,clear sky,-12.6,-69.1833,Wasai Hotel
527,Progreso,MX,76.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
528,Invermere,CA,87.03,scattered clouds,50.5167,-116.0354,Copper Point Resort
530,Fecamp,FR,65.91,scattered clouds,49.7579,0.3746,Hôtel d'Angleterre
535,Port Said,EG,79.92,clear sky,31.2565,32.2841,Aracan Hotel
540,Santa Marta,CO,86.05,few clouds,11.2408,-74.199,Hotel La Ballena Azul
542,Tongliao,CN,78.48,clear sky,43.6125,122.2653,Meirujia Hotel
551,Haines Junction,CA,73.35,overcast clouds,60.7522,-137.5108,Parkside Inn
552,Gallup,US,66.04,overcast clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
554,Itacare,BR,73.35,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
555,Virginia Beach,US,83.01,scattered clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
556,Trincomalee,LK,79.34,overcast clouds,8.5711,81.2335,Welcombe Hotel
557,Bagarji,PK,87.8,haze,27.756,68.7524,Bahadur ramejo residency
