City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
197,Waingapu,ID,-9.6567,120.2641,78.98,66,29,11.52,scattered clouds
198,Korla,CN,41.7597,86.1469,76.19,38,11,8.03,few clouds
199,Aleppo,SY,36.25,37.5,74.95,58,0,15.55,clear sky
200,Walvis Bay,NA,-22.9575,14.5053,53.1,93,67,6.91,broken clouds
201,North Bend,US,43.4065,-124.2243,72.91,94,100,9.22,overcast clouds
202,Kavieng,PG,-2.5744,150.7967,84.54,65,87,12.46,overcast clouds
203,Longhua,CN,23.6137,114.1919,81.39,81,46,1.41,scattered clouds
204,Baraki Barak,AF,33.9675,68.9486,72.07,33,7,1.5,clear sky
205,Mamlyutka,KZ,54.9375,68.5394,57.9,94,50,7.27,scattered clouds
206,Yurginskoye,RU,56.8189,67.3921,57.06,95,34,5.21,scattered clouds
207,Constitucion,CL,-35.3333,-72.4167,52.27,87,100,6.22,overcast clouds
208,Kieta,PG,-6.2167,155.6333,83.79,70,55,7.65,light rain
209,Manzanillo,CU,20.3433,-77.1167,83.32,67,29,11.68,scattered clouds
210,Merauke,ID,-8.4667,140.3333,78.15,84,100,14.27,overcast clouds
211,Kamaishi,JP,39.2667,141.8833,82.04,64,0,3.24,clear sky
212,Kongoussi,BF,13.3258,-1.5347,81.14,64,24,7.9,few clouds
213,Ponta Pora,BR,-22.5361,-55.7256,56.19,41,2,5.68,clear sky
214,Saint-Pierre,RE,-21.3393,55.4781,71.19,71,75,6.91,broken clouds
215,Krasnogorsk,RU,55.8225,37.3181,59.05,82,0,4.47,clear sky
216,Paamiut,GL,61.994,-49.6678,43.07,91,75,12.37,broken clouds
217,Mabaruma,GY,8.2,-59.7833,74.23,96,42,3.06,scattered clouds
218,Leningradskiy,RU,69.3833,178.4167,50.02,63,75,7.54,broken clouds
219,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,74.44,24,5,1.54,clear sky
220,Yichun,CN,47.7,128.9,77.0,70,18,2.42,few clouds
221,Narsaq,GL,60.9167,-46.05,53.82,90,12,4.99,few clouds
222,Kiama,AU,-34.6833,150.8667,56.57,70,92,5.99,overcast clouds
